"Timestamp","Which year are you in?","How are you feeling right now?","On a scale of 1-100, how would you express this feeling?","Gender","Age","Your location ?","Relationship status","Are you happy with your financial state?","How much have you succeeded to cope up with the environment of your educational institution?","Understanding with your family members?","Are you feeling pressure in your study or work right now?","Are you satisfied with your academic result?","Are you happy with your living place?","Who supports you when you are not succeeding in your academic life?","Have you used any social media within the last 6 hours?","Do you have inferiority complex? ","Are you satisfied with your meal today?","Are you feeling sick/health issues today?","Have you done any recreational activity (sports, gaming, hobby etc.) today?","How long did you sleep last night?(in hours)"
"2021/01/30 11:41:44 PM GMT+6","4th year","Normal","50","Male","23","Playground","Single","No","4","Good","No","No","Yes","Family","Yes","No","Neutral","No","No","6"
"2021/01/30 11:41:46 PM GMT+6","4th year","Very good","100","Male","23","Playground","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:41:48 PM GMT+6","4th year","Very good","91","Male","23","Hall-Mess","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","7"
"2021/01/30 11:41:53 PM GMT+6","4th year","Bad","33","Male","23","Department","Single","Yes","1","Good","Yes","Yes","No","Friends","Yes","Yes","Yes","Yes","No","3"
"2021/01/30 11:41:55 PM GMT+6","4th year","Normal","59","Male","23","Playground","Single","Yes","5","Normal","Yes","Yes","Yes","Friends","Yes","No","Neutral","Yes","No","8"
"2021/01/30 11:42:00 PM GMT+6","4th year","Bad","49","Male","23","Home","Single","Yes","1","Normal","Yes","No","No","Family","Yes","Maybe","Neutral","Yes","Yes","3"
"2021/01/30 11:42:05 PM GMT+6","4th year","Bad","29","Male","23","Department","Single","No","2","Good","Yes","No","Yes","Family","Yes","Maybe","Neutral","Yes","Yes","7"
"2021/01/30 11:42:10 PM GMT+6","4th year","Very good","92","Male","23","Playground","Single","Yes","3","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","8"
"2021/01/30 11:42:13 PM GMT+6","4th year","Bad","30","Male","23","Home","Single","Yes","3","Bad","Yes","Yes","Yes","Friends","Yes","No","Neutral","Yes","Yes","3"
"2021/01/30 11:42:17 PM GMT+6","4th year","Good","75","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","No","10"
"2021/01/30 11:42:20 PM GMT+6","4th year","Bad","25","Male","23","Hall-Mess","Single","No","1","Good","Yes","Yes","No","Friends","Yes","No","Yes","No","Yes","3"
"2021/01/30 11:42:22 PM GMT+6","4th year","Very bad","16","Male","23","Home","Single","No","2","Bad","Yes","Yes","Yes","Family","Yes","Yes","No","Yes","No","5"
"2021/01/30 11:42:24 PM GMT+6","4th year","Very bad","18","Male","23","Playground","Single","No","2","Good","Yes","No","Yes","Family","Yes","No","Yes","Yes","No","4"
"2021/01/30 11:42:26 PM GMT+6","4th year","Very bad","8","Male","23","Hall-Mess","Single","No","1","Bad","Yes","Yes","Yes","Family","Yes","No","Yes","No","No","5"
"2021/01/30 11:42:28 PM GMT+6","4th year","Very bad","5","Male","23","Department","Single","Yes","3","Normal","Yes","No","No","Friends","Yes","Maybe","Neutral","Yes","Yes","6"
"2021/01/30 11:42:33 PM GMT+6","4th year","Bad","47","Male","23","Hall-Mess","Single","Yes","3","Bad","Yes","No","No","Friends","Yes","Yes","No","No","Yes","5"
"2021/01/30 11:42:35 PM GMT+6","4th year","Bad","38","Male","23","Hall-Mess","Single","Yes","2","Bad","Yes","Yes","No","Friends","Yes","No","No","No","Yes","7"
"2021/01/30 11:42:40 PM GMT+6","4th year","Very good","94","Male","23","Home","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","No","7"
"2021/01/30 11:42:42 PM GMT+6","4th year","Normal","65","Male","23","Home","Single","No","3","Normal","Yes","No","No","Family","Yes","No","Yes","Yes","No","6"
"2021/01/30 11:42:47 PM GMT+6","4th year","Very good","99","Male","23","Playground","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:42:52 PM GMT+6","4th year","Good","74","Male","23","Home","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","7"
"2021/01/30 11:42:57 PM GMT+6","4th year","Normal","50","Male","23","Playground","Single","No","3","Normal","Yes","No","No","Friends","Yes","No","Yes","No","No","8"
"2021/01/30 11:42:59 PM GMT+6","4th year","Good","78","Male","23","Playground","Single","Yes","5","Good","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","7"
"2021/01/30 11:43:01 PM GMT+6","4th year","Very bad","19","Male","23","Home","Single","No","1","Good","Yes","Yes","Yes","Friends","Yes","Yes","Yes","No","Yes","3"
"2021/01/30 11:43:03 PM GMT+6","4th year","Good","83","Male","23","Department","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","9"
"2021/01/30 11:43:08 PM GMT+6","4th year","Normal","63","Male","23","Hall-Mess","Single","No","3","Good","No","Yes","No","Family","Yes","Maybe","Yes","No","No","8"
"2021/01/30 11:43:10 PM GMT+6","4th year","Very bad","9","Male","23","Home","Single","No","2","Good","Yes","No","Yes","Friends","Yes","No","No","Yes","Yes","7"
"2021/01/30 11:43:15 PM GMT+6","4th year","Normal","61","Male","23","Department","Single","Yes","3","Good","Yes","Yes","No","Friends","Yes","Maybe","Neutral","No","No","8"
"2021/01/30 11:43:20 PM GMT+6","4th year","Very bad","19","Male","23","Hall-Mess","Single","Yes","2","Normal","Yes","No","No","Friends","Yes","No","Neutral","No","No","7"
"2021/01/30 11:43:25 PM GMT+6","4th year","Very good","98","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:43:27 PM GMT+6","4th year","Very bad","8","Male","23","Home","Single","No","2","Bad","Yes","No","Yes","Friends","Yes","Maybe","No","Yes","Yes","7"
"2021/01/30 11:43:32 PM GMT+6","4th year","Very good","92","Male","23","Home","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","9"
"2021/01/30 11:43:34 PM GMT+6","4th year","Normal","54","Male","23","Home","Single","No","4","Normal","Yes","No","No","Friends","Yes","Maybe","Neutral","Yes","Yes","8"
"2021/01/30 11:43:39 PM GMT+6","4th year","Bad","32","Male","23","Hall-Mess","Single","No","2","Normal","Yes","No","Yes","Family","Yes","Yes","Neutral","No","Yes","5"
"2021/01/30 11:43:41 PM GMT+6","4th year","Normal","67","Male","23","Home","Single","No","4","Good","Yes","No","Yes","Friends","Yes","Maybe","Neutral","Yes","No","8"
"2021/01/30 11:43:46 PM GMT+6","4th year","Very good","90","Male","23","Playground","Single","Yes","3","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","10"
"2021/01/30 11:43:51 PM GMT+6","4th year","Very bad","17","Male","23","Department","Single","Yes","2","Normal","Yes","Yes","No","Friends","Yes","No","No","No","No","4"
"2021/01/30 11:43:53 PM GMT+6","4th year","Bad","30","Male","23","Home","Single","No","2","Normal","Yes","Yes","No","Family","Yes","Maybe","No","No","Yes","3"
"2021/01/30 11:43:55 PM GMT+6","4th year","Bad","21","Male","23","Department","Single","No","1","Normal","Yes","Yes","Yes","Family","Yes","Yes","Yes","No","No","7"
"2021/01/30 11:43:57 PM GMT+6","4th year","Normal","62","Male","23","Hall-Mess","Single","Yes","4","Normal","Yes","Yes","No","Friends","Yes","Maybe","Neutral","No","Yes","8"
"2021/01/30 11:43:59 PM GMT+6","4th year","Good","71","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","9"
"2021/01/30 11:44:01 PM GMT+6","4th year","Normal","63","Male","23","Department","Single","Yes","4","Good","No","Yes","No","Friends","Yes","No","Yes","Yes","No","8"
"2021/01/30 11:44:06 PM GMT+6","4th year","Bad","36","Male","23","Playground","Single","Yes","1","Bad","Yes","No","Yes","Friends","Yes","No","Yes","No","Yes","6"
"2021/01/30 11:44:08 PM GMT+6","4th year","Very bad","2","Male","23","Hall-Mess","Single","No","2","Bad","Yes","Yes","Yes","Family","Yes","Yes","No","No","No","5"
"2021/01/30 11:44:13 PM GMT+6","4th year","Good","71","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:44:18 PM GMT+6","4th year","Good","87","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:44:23 PM GMT+6","4th year","Bad","30","Male","23","Home","Single","No","2","Normal","Yes","Yes","No","Friends","Yes","No","Neutral","No","No","6"
"2021/01/30 11:44:28 PM GMT+6","4th year","Bad","34","Male","23","Department","Single","No","2","Normal","Yes","No","No","Family","Yes","Yes","Neutral","Yes","Yes","6"
"2021/01/30 11:44:30 PM GMT+6","4th year","Very bad","16","Male","23","Hall-Mess","Single","No","3","Normal","Yes","Yes","No","Friends","Yes","No","Yes","Yes","No","6"
"2021/01/30 11:44:32 PM GMT+6","4th year","Very bad","5","Male","23","Playground","Single","Yes","3","Good","Yes","No","Yes","Family","Yes","Maybe","Neutral","Yes","Yes","6"
"2021/01/30 11:44:34 PM GMT+6","4th year","Very bad","7","Male","23","Playground","Single","Yes","2","Normal","Yes","Yes","No","Friends","Yes","No","No","No","No","3"
"2021/01/30 11:44:36 PM GMT+6","4th year","Very bad","3","Male","23","Department","Single","No","1","Bad","Yes","Yes","No","Family","Yes","Maybe","Neutral","No","No","4"
"2021/01/30 11:44:39 PM GMT+6","4th year","Bad","21","Male","23","Hall-Mess","Single","No","2","Bad","Yes","No","No","Friends","Yes","No","No","Yes","No","6"
"2021/01/30 11:44:41 PM GMT+6","4th year","Very bad","15","Male","23","Hall-Mess","Single","No","1","Good","Yes","Yes","No","Friends","Yes","No","Yes","Yes","Yes","6"
"2021/01/30 11:44:43 PM GMT+6","4th year","Normal","56","Male","23","Home","Single","No","5","Normal","No","Yes","Yes","Friends","Yes","No","Yes","Yes","No","6"
"2021/01/30 11:44:48 PM GMT+6","4th year","Very good","93","Male","23","Hall-Mess","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","7"
"2021/01/30 11:44:50 PM GMT+6","4th year","Good","81","Male","23","Hall-Mess","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:44:52 PM GMT+6","4th year","Good","71","Male","23","Department","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:44:54 PM GMT+6","4th year","Good","79","Male","23","Home","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:44:59 PM GMT+6","4th year","Very good","98","Male","23","Playground","Single","Yes","5","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:45:01 PM GMT+6","4th year","Normal","68","Male","23","Playground","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","Maybe","Neutral","Yes","Yes","8"
"2021/01/30 11:45:03 PM GMT+6","4th year","Normal","62","Male","23","Department","Single","Yes","4","Normal","Yes","Yes","No","Friends","Yes","Maybe","Neutral","No","No","7"
"2021/01/30 11:45:05 PM GMT+6","4th year","Good","72","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:45:10 PM GMT+6","4th year","Very bad","16","Male","23","Home","Single","Yes","1","Bad","Yes","No","No","Family","Yes","Yes","No","No","No","6"
"2021/01/30 11:45:15 PM GMT+6","4th year","Normal","59","Male","23","Playground","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:45:20 PM GMT+6","4th year","Normal","64","Male","23","Home","Single","Yes","4","Good","Yes","No","Yes","Family","Yes","No","Neutral","No","No","7"
"2021/01/30 11:45:22 PM GMT+6","4th year","Normal","66","Male","23","Hall-Mess","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","Maybe","Neutral","Yes","No","6"
"2021/01/30 11:45:24 PM GMT+6","4th year","Bad","47","Male","23","Department","Single","Yes","2","Good","Yes","Yes","Yes","Friends","Yes","Maybe","Yes","Yes","No","3"
"2021/01/30 11:45:29 PM GMT+6","4th year","Good","76","Male","23","Playground","Single","Yes","5","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","9"
"2021/01/30 11:45:34 PM GMT+6","4th year","Bad","38","Male","23","Playground","Single","Yes","3","Normal","Yes","No","No","Family","Yes","Yes","Yes","No","No","7"
"2021/01/30 11:45:39 PM GMT+6","4th year","Bad","49","Male","23","Hall-Mess","Single","Yes","2","Normal","Yes","Yes","Yes","Family","Yes","Maybe","Yes","Yes","Yes","7"
"2021/01/30 11:45:42 PM GMT+6","4th year","Good","77","Male","23","Department","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:45:46 PM GMT+6","4th year","Very good","97","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","10"
"2021/01/30 11:45:49 PM GMT+6","4th year","Bad","31","Male","23","Playground","Single","Yes","2","Normal","Yes","No","No","Friends","Yes","No","Yes","No","Yes","6"
"2021/01/30 11:45:50 PM GMT+6","4th year","Very good","98","Male","23","Playground","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:45:55 PM GMT+6","4th year","Bad","39","Male","23","Department","Single","No","3","Normal","Yes","No","Yes","Friends","Yes","No","Neutral","No","No","4"
"2021/01/30 11:46:00 PM GMT+6","4th year","Good","75","Male","23","Hall-Mess","Single","Yes","5","Normal","No","No","Yes","Family","Yes","No","Neutral","No","No","10"
"2021/01/30 11:46:02 PM GMT+6","4th year","Very bad","3","Male","23","Playground","Single","No","3","Normal","Yes","No","Yes","Family","Yes","Yes","No","Yes","No","4"
"2021/01/30 11:46:07 PM GMT+6","4th year","Bad","24","Male","23","Home","Single","Yes","2","Bad","Yes","Yes","Yes","Family","Yes","No","Neutral","Yes","No","4"
"2021/01/30 11:46:09 PM GMT+6","4th year","Very good","93","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:46:14 PM GMT+6","4th year","Very bad","3","Male","23","Playground","Single","No","2","Bad","Yes","Yes","No","Family","Yes","No","Neutral","No","Yes","3"
"2021/01/30 11:46:19 PM GMT+6","4th year","Very bad","4","Male","23","Home","Single","Yes","2","Normal","Yes","Yes","Yes","Friends","Yes","Yes","Neutral","No","Yes","5"
"2021/01/30 11:46:21 PM GMT+6","4th year","Good","89","Male","23","Home","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:46:26 PM GMT+6","4th year","Normal","67","Male","23","Home","Single","No","3","Normal","No","No","No","Family","Yes","Maybe","Neutral","Yes","Yes","6"
"2021/01/30 11:46:29 PM GMT+6","4th year","Normal","52","Male","23","Department","Single","No","4","Normal","Yes","Yes","Yes","Friends","Yes","Maybe","Yes","No","Yes","6"
"2021/01/30 11:46:30 PM GMT+6","4th year","Very good","94","Male","23","Department","Single","Yes","3","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:46:32 PM GMT+6","4th year","Bad","26","Male","23","Playground","Single","No","1","Normal","Yes","Yes","Yes","Family","Yes","Maybe","No","Yes","No","4"
"2021/01/30 11:46:37 PM GMT+6","4th year","Very good","90","Male","23","Home","Single","Yes","4","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","10"
"2021/01/30 11:46:39 PM GMT+6","4th year","Very bad","12","Male","23","Playground","Single","No","1","Good","Yes","No","No","Family","Yes","Yes","No","Yes","No","3"
"2021/01/30 11:46:41 PM GMT+6","4th year","Very good","93","Male","23","Department","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:46:43 PM GMT+6","4th year","Good","82","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","9"
"2021/01/30 11:46:45 PM GMT+6","4th year","Bad","35","Male","23","Department","Single","Yes","2","Bad","Yes","Yes","No","Family","Yes","No","No","No","Yes","3"
"2021/01/30 11:46:47 PM GMT+6","4th year","Very bad","6","Male","23","Playground","Single","Yes","3","Bad","Yes","Yes","Yes","Friends","Yes","Yes","Yes","No","No","3"
"2021/01/30 11:46:50 PM GMT+6","4th year","Very bad","7","Male","23","Home","Single","Yes","2","Good","Yes","Yes","No","Family","Yes","Maybe","Neutral","No","No","7"
"2021/01/30 11:46:54 PM GMT+6","4th year","Normal","52","Male","23","Department","Single","No","4","Good","No","Yes","Yes","Family","Yes","Maybe","Yes","Yes","No","7"
"2021/01/30 11:47:00 PM GMT+6","4th year","Very good","93","Male","23","Department","Single","Yes","3","Good","No","No","Yes","Friends","Yes","No","Yes","No","No","8"
"2021/01/30 11:47:05 PM GMT+6","4th year","Bad","45","Male","23","Department","Single","No","1","Bad","Yes","Yes","No","Friends","Yes","Yes","Neutral","Yes","Yes","4"
"2021/01/30 11:47:07 PM GMT+6","4th year","Normal","67","Male","23","Hall-Mess","Single","No","3","Normal","Yes","Yes","No","Family","Yes","No","Neutral","No","No","6"
"2021/01/30 11:47:09 PM GMT+6","4th year","Good","86","Male","23","Home","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:47:14 PM GMT+6","4th year","Very bad","18","Male","23","Home","Single","Yes","2","Bad","Yes","Yes","No","Friends","Yes","Yes","Yes","Yes","Yes","3"
"2021/01/30 11:47:19 PM GMT+6","4th year","Good","82","Male","23","Playground","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Yes","No","No","9"
"2021/01/30 11:47:21 PM GMT+6","4th year","Very bad","12","Male","23","Hall-Mess","Single","Yes","1","Bad","Yes","Yes","No","Friends","Yes","Yes","Yes","Yes","Yes","6"
"2021/01/30 11:47:26 PM GMT+6","4th year","Bad","37","Male","23","Playground","Single","No","2","Normal","Yes","Yes","No","Friends","Yes","Yes","No","No","Yes","7"
"2021/01/30 11:47:28 PM GMT+6","4th year","Very bad","11","Male","23","Playground","Single","No","2","Good","Yes","No","Yes","Friends","Yes","No","Yes","Yes","No","4"
"2021/01/30 11:47:33 PM GMT+6","4th year","Very good","92","Male","23","Hall-Mess","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Neutral","No","No","10"
"2021/01/30 11:47:38 PM GMT+6","4th year","Bad","30","Male","23","Hall-Mess","Single","No","3","Good","Yes","Yes","No","Friends","Yes","Maybe","Yes","Yes","No","7"
"2021/01/30 11:47:40 PM GMT+6","4th year","Good","73","Male","23","Hall-Mess","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:47:42 PM GMT+6","4th year","Very good","98","Male","23","Department","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:47:47 PM GMT+6","4th year","Bad","46","Male","23","Home","Single","No","2","Good","Yes","Yes","Yes","Family","Yes","Maybe","No","No","Yes","6"
"2021/01/30 11:47:49 PM GMT+6","4th year","Bad","28","Male","23","Department","Single","Yes","1","Normal","Yes","Yes","Yes","Family","Yes","Maybe","Yes","No","Yes","6"
"2021/01/30 11:47:54 PM GMT+6","4th year","Good","75","Male","23","Hall-Mess","Single","Yes","3","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:47:59 PM GMT+6","4th year","Very good","96","Male","23","Hall-Mess","Single","Yes","5","Normal","No","No","Yes","Family","Yes","No","Yes","No","Yes","9"
"2021/01/30 11:48:01 PM GMT+6","4th year","Very bad","2","Male","23","Playground","Single","Yes","1","Bad","Yes","No","No","Family","Yes","No","No","Yes","Yes","7"
"2021/01/30 11:48:06 PM GMT+6","4th year","Bad","20","Male","23","Playground","Single","Yes","3","Bad","Yes","No","Yes","Friends","Yes","No","No","Yes","Yes","6"
"2021/01/30 11:48:08 PM GMT+6","4th year","Very good","98","Male","23","Hall-Mess","Single","Yes","4","Normal","No","No","Yes","Family","Yes","No","Neutral","No","No","8"
"2021/01/30 11:48:13 PM GMT+6","4th year","Bad","40","Male","23","Playground","Single","No","3","Normal","Yes","No","Yes","Friends","Yes","Yes","Neutral","No","No","6"
"2021/01/30 11:48:18 PM GMT+6","4th year","Normal","67","Male","23","Home","Single","No","3","Normal","Yes","No","No","Family","Yes","Maybe","Yes","Yes","Yes","8"
"2021/01/30 11:48:20 PM GMT+6","4th year","Bad","35","Male","23","Hall-Mess","Single","No","1","Bad","Yes","Yes","Yes","Family","Yes","Yes","Yes","No","Yes","3"
"2021/01/30 11:48:22 PM GMT+6","4th year","Very good","100","Male","23","Hall-Mess","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:48:24 PM GMT+6","4th year","Normal","64","Male","23","Department","Single","No","3","Good","No","Yes","No","Friends","Yes","No","Neutral","Yes","Yes","8"
"2021/01/30 11:48:29 PM GMT+6","4th year","Very bad","2","Male","23","Playground","Single","Yes","1","Normal","Yes","No","Yes","Friends","Yes","Yes","Neutral","No","Yes","6"
"2021/01/30 11:48:31 PM GMT+6","4th year","Very good","96","Male","23","Home","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Yes","No","No","10"
"2021/01/30 11:48:33 PM GMT+6","4th year","Bad","37","Male","23","Home","Single","Yes","1","Bad","Yes","No","Yes","Family","Yes","Maybe","Neutral","Yes","No","5"
"2021/01/30 11:48:35 PM GMT+6","4th year","Normal","59","Male","23","Home","Single","Yes","5","Normal","Yes","Yes","Yes","Family","Yes","Maybe","Neutral","Yes","No","8"
"2021/01/30 11:48:40 PM GMT+6","4th year","Normal","64","Male","23","Home","Single","Yes","4","Good","Yes","Yes","Yes","Friends","Yes","Maybe","Neutral","Yes","Yes","7"
"2021/01/30 11:48:42 PM GMT+6","4th year","Bad","39","Male","23","Hall-Mess","Single","No","1","Good","Yes","Yes","No","Friends","Yes","No","Neutral","Yes","No","7"
"2021/01/30 11:48:44 PM GMT+6","4th year","Very bad","4","Male","23","Hall-Mess","Single","Yes","1","Good","Yes","No","Yes","Family","Yes","Yes","Neutral","No","No","3"
"2021/01/30 11:48:49 PM GMT+6","4th year","Very bad","19","Male","23","Playground","Single","No","3","Good","Yes","No","Yes","Friends","Yes","Yes","Yes","Yes","Yes","4"
"2021/01/30 11:48:51 PM GMT+6","4th year","Very bad","2","Male","23","Hall-Mess","Single","No","2","Good","Yes","Yes","No","Friends","Yes","No","Neutral","Yes","Yes","3"
"2021/01/30 11:48:53 PM GMT+6","4th year","Good","89","Male","23","Playground","Single","Yes","3","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:48:58 PM GMT+6","4th year","Very good","96","Male","23","Hall-Mess","Single","Yes","3","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","No","8"
"2021/01/30 11:49:03 PM GMT+6","4th year","Good","73","Male","23","Playground","Single","Yes","3","Good","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","8"
"2021/01/30 11:49:08 PM GMT+6","4th year","Very good","96","Male","23","Hall-Mess","Single","Yes","3","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:49:13 PM GMT+6","4th year","Bad","47","Male","23","Department","Single","No","2","Normal","Yes","Yes","No","Friends","Yes","Maybe","Yes","No","Yes","6"
"2021/01/30 11:49:18 PM GMT+6","4th year","Very good","98","Male","23","Department","Single","Yes","5","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:49:20 PM GMT+6","4th year","Very good","100","Male","23","Department","Single","Yes","5","Good","No","No","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:49:25 PM GMT+6","4th year","Normal","65","Male","23","Playground","Single","No","4","Normal","No","Yes","Yes","Friends","Yes","Maybe","Yes","No","Yes","7"
"2021/01/30 11:49:30 PM GMT+6","4th year","Bad","33","Male","23","Hall-Mess","Single","No","2","Normal","Yes","No","Yes","Friends","Yes","No","Yes","No","No","5"
"2021/01/30 11:49:33 PM GMT+6","4th year","Very bad","1","Male","23","Home","Single","No","2","Bad","Yes","No","No","Friends","Yes","No","No","Yes","Yes","3"
"2021/01/30 11:49:38 PM GMT+6","4th year","Very good","94","Male","23","Hall-Mess","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","No","9"
"2021/01/30 11:49:43 PM GMT+6","4th year","Very bad","11","Male","23","Hall-Mess","Single","Yes","3","Good","Yes","Yes","No","Family","Yes","Maybe","Yes","No","No","6"
"2021/01/30 11:49:45 PM GMT+6","4th year","Very good","95","Male","23","Home","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","9"
"2021/01/30 11:49:50 PM GMT+6","4th year","Very good","92","Male","23","Hall-Mess","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","Yes","10"
"2021/01/30 11:49:55 PM GMT+6","4th year","Good","87","Male","23","Hall-Mess","Single","Yes","4","Good","No","Yes","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:49:57 PM GMT+6","4th year","Very good","97","Male","23","Department","Single","Yes","5","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","7"
"2021/01/30 11:49:59 PM GMT+6","4th year","Good","84","Male","23","Hall-Mess","Single","Yes","5","Normal","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:50:01 PM GMT+6","4th year","Very bad","5","Male","23","Hall-Mess","Single","No","2","Good","Yes","No","No","Friends","Yes","Maybe","Yes","Yes","Yes","6"
"2021/01/30 11:50:03 PM GMT+6","4th year","Good","77","Male","23","Department","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Neutral","No","Yes","7"
"2021/01/30 11:50:08 PM GMT+6","4th year","Bad","28","Male","23","Home","Single","No","1","Good","Yes","Yes","Yes","Family","Yes","Maybe","No","No","No","6"
"2021/01/30 11:50:10 PM GMT+6","4th year","Good","79","Male","23","Department","Single","Yes","4","Normal","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","10"
"2021/01/30 11:50:15 PM GMT+6","4th year","Normal","54","Male","23","Playground","Single","Yes","4","Normal","Yes","No","No","Friends","Yes","Maybe","Yes","No","No","8"
"2021/01/30 11:50:20 PM GMT+6","4th year","Bad","39","Male","23","Hall-Mess","Single","Yes","1","Good","Yes","Yes","No","Family","Yes","Maybe","Yes","Yes","No","6"
"2021/01/30 11:50:22 PM GMT+6","4th year","Normal","58","Male","23","Department","Single","Yes","5","Good","Yes","No","No","Friends","Yes","Maybe","Yes","Yes","Yes","6"
"2021/01/30 11:50:24 PM GMT+6","4th year","Very good","96","Male","23","Hall-Mess","Single","Yes","4","Good","No","No","Yes","Friends","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:50:26 PM GMT+6","4th year","Good","81","Male","23","Playground","Single","Yes","4","Good","No","Yes","Yes","Friends","Yes","No","Neutral","No","No","8"
"2021/01/30 11:50:28 PM GMT+6","4th year","Bad","38","Male","23","Home","Single","No","2","Normal","Yes","No","Yes","Friends","Yes","No","Yes","Yes","No","6"
"2021/01/30 11:50:33 PM GMT+6","4th year","Good","79","Male","23","Home","Single","Yes","3","Good","No","No","Yes","Family","Yes","No","Neutral","No","No","9"
"2021/01/30 11:50:35 PM GMT+6","4th year","Normal","66","Male","23","Department","Single","Yes","3","Good","Yes","No","Yes","Family","Yes","Maybe","Yes","Yes","No","7"
